smiles,gene,pic50,relation
Cc1nccn2c(-c3ccnc(NCC(C)(C)CO)n3)c(-c3ccc(F)cc3F)nc12,MAPK14,9.9,=
Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,EGFR,5.28,=
Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,SRC,9.3,=
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,EGFR,9.34,=
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,KDR,4.6,=
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,EGFR,9.15,=
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,INSR,4.3,<
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,SRC,4.3,<
C#CCN(c1ccc2ncc(-c3cnn(C)c3)nc2c1)c1c(F)c(OC)cc(OC)c1F,KDR,7.65,=
C#CCN(c1ccc2ncc(-c3cnn(C)c3)nc2c1)c1c(F)c(OC)cc(OC)c1F,FGFR1,5.0,<
C#CCN(c1ccc2ncc(-c3cnn(C)c3)nc2c1)c1c(F)c(OC)cc(OC)c1F,FGFR3,5.0,<
C#CCN(c1ccc2ncc(-c3cnn(C)c3)nc2c1)c1c(F)c(OC)cc(OC)c1F,FLT3,5.0,<
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4C)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,SRC,8.3,=
C#Cc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4C)c4ccccc34)n2)cc(C(=O)NCCOCCOCCOC)c1,SYK,6.0,<
