smiles,gene_a,gene_b,pic50_a,pic50_b,relation_a,relation_b
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,ABL2,CAMK1D,6.62,5.33,=,=
CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,AAK1,CDK1,5.13,7.35,=,=
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ABL2,DYRK1A,6.0,6.7,=,=
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,AAK1,PRKACA,8.09,5.44,=,=
CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,AAK1,CSF1R,6.77,7.4,=,=
CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,ABL1,RIPK2,6.55,8.3,=,=
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,ABL1,MAP4K1,6.82,5.68,=,=
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,ABL1,CSNK1D,6.51,5.46,=,=
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,ABL1,NUAK1,5.19,5.82,=,=
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,ABL1,FGFR2,6.51,5.72,=,=
C#CCO[C@@H]1[C@H](C)[C@@H](COS(=O)(=O)C=C)O[C@H]1n1nc(-c2ccc(C)cc2)c2c(N)ncnc21,ABL1,YES1,7.46,8.64,=,=
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,AAK1,CSNK1A1,7.96,6.26,=,=
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ABL2,CSNK1G2,6.0,6.96,=,=
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,AAK1,CDK7,5.8,5.26,=,=
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,ABL1,AURKB,6.51,5.85,=,=
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,AAK1,TAOK1,5.38,6.3,=,=
CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Cl,ACVR1,MAP3K10,6.8,9.1,=,=
CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,ABL2,MAP2K6,6.73,5.34,=,=
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,ABL2,CSNK1G2,8.47,6.02,=,=
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,ABL2,MAP2K4,7.46,6.0,=,=
CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1,ACVR1,STK3,6.65,7.16,=,=
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,ABL1,CHUK,8.0,7.39,=,=
CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,ABL1,AURKA,6.6,8.4,=,=
C=Cc1ccc(-c2cccc3nnc(N)n23)cc1,ABL1,PDGFRB,4.4,5.2,=,=
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,AAK1,NEK4,6.39,5.75,=,=
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,ACVR1,CDK17,6.04,7.03,=,=
CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,ABL1,TEK,7.4,6.0,=,=
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,ACVR1,PRKAA2,6.33,7.92,=,=
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,ABL2,NTRK1,8.47,6.5,=,=
CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)cc12,AAK1,RPS6KA1,8.05,5.62,=,=
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,ABL2,DAPK2,6.0,6.82,=,=
CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,ACVR1,CDK2,6.35,5.2,=,=
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,ACVR1B,CSNK1D,6.17,5.62,=,=
