smiles_a,gene,smiles_b,pic50_a,pic50_b,relation_a,relation_b
CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1,MAP3K10,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,7.38,5.8,=,=
Cc1ccc2c(c1)C(O)(C(F)(F)F)c1cccc(C)c1-2,PDK2,OC1(C(F)(F)F)c2ccccc2-c2ccc(Br)cc21,4.86,5.84,=,=
CCCc1c(F)c2cnc(Nc3ccc(N4CCOCC4)cc3)nc2n1-c1cccc(N=S(C)(C)=O)n1,WEE1,CC(C)(O)c1cccc(-n2c3nc(Nc4ccc5c(c4)NCCC5(C)C)ncc3c(=O)n2-c2ccccc2F)n1,8.47,7.59,=,=
Cc1cc(C)n(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1,EIF2AK2,Cn1nc2c3c(cccc31)C(=O)c1ccccc1-2,7.0,4.92,=,=
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,CSNK1A1L,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,5.58,6.0,=,=
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1,HUNK,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,5.85,5.27,=,=
CCNC(=O)c1c(OC)cc(-n2cnc3cc(-c4cnn(CCOC)c4)ccc32)cc1OC,SIK3,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,8.17,5.53,=,=
CCCCN(CCC#N)C(=O)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,CDK5,O=C1Nc2c(Br)cccc2/C1=C1/Nc2ccc(/C=N/O)cc2C1=O,7.7,6.7,=,=
COc1cccc([C@@H](CO)O[C@H]2CCCN(Cc3ccc(C(=O)O)cc3C)[C@H]2c2ccccc2)c1,PRKG1,CC(=O)Nc1cccc(CNc2c(Nc3ccc4[nH]ncc4c3)c(=O)c2=O)c1,4.09,8.3,=,=
CC(C)C[C@](C)(N)COc1ccc(-c2ccnc(F)c2)cc1C#N,AAK1,CC(=O)Nc1cc(-c2ccc(OC[C@@H](N)CC(C)C)c(Cl)c2)ccn1,8.33,9.28,=,=
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,NEK11,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,6.12,6.72,=,=
